ibge_code,city,state_uf,state_name,city_search
1200013,Acrelândia,AC,Acre,acrelandia
1200054,Assis Brasil,AC,Acre,assis brasil
1200104,Brasiléia,AC,Acre,brasileia
1200138,Bujari,AC,Acre,bujari
1200179,Capixaba,AC,Acre,capixaba
1200203,Cruzeiro do Sul,AC,Acre,cruzeiro do sul
1200252,Epitaciolândia,AC,Acre,epitaciolandia
1200302,Feijó,AC,Acre,feijo
1200328,Jordão,AC,Acre,jordao
1200336,Mâncio Lima,AC,Acre,mancio lima
1200344,Manoel Urbano,AC,Acre,manoel urbano
1200351,Marechal Thaumaturgo,AC,Acre,marechal thaumaturgo
1200385,Plácido de Castro,AC,Acre,placido de castro
1200807,Porto Acre,AC,Acre,porto acre
1200393,Porto Walter,AC,Acre,porto walter
1200401,Rio Branco,AC,Acre,rio branco
1200427,Rodrigues Alves,AC,Acre,rodrigues alves
1200435,Santa Rosa do Purus,AC,Acre,santa rosa do purus
1200500,Sena Madureira,AC,Acre,sena madureira
1200450,Senador Guiomard,AC,Acre,senador guiomard
1200609,Tarauacá,AC,Acre,tarauaca
1200708,Xapuri,AC,Acre,xapuri
2700102,Água Branca,AL,Alagoas,agua branca
2700201,Anadia,AL,Alagoas,anadia
2700300,Arapiraca,AL,Alagoas,arapiraca
2700409,Atalaia,AL,Alagoas,atalaia
2700508,Barra de Santo Antônio,AL,Alagoas,barra de santo antonio
2700607,Barra de São Miguel,AL,Alagoas,barra de sao miguel
2700706,Batalha,AL,Alagoas,batalha
2700805,Belém,AL,Alagoas,belem
2700904,Belo Monte,AL,Alagoas,belo monte
2701001,Boca da Mata,AL,Alagoas,boca da mata
2701100,Branquinha,AL,Alagoas,branquinha
2701209,Cacimbinhas,AL,Alagoas,cacimbinhas
2701308,Cajueiro,AL,Alagoas,cajueiro
2701357,Campestre,AL,Alagoas,campestre
2701407,Campo Alegre,AL,Alagoas,campo alegre
2701506,Campo Grande,AL,Alagoas,campo grande
2701605,Canapi,AL,Alagoas,canapi
2701704,Capela,AL,Alagoas,capela
2701803,Carneiros,AL,Alagoas,carneiros
2701902,Chã Preta,AL,Alagoas,cha preta
2702009,Coité do Nóia,AL,Alagoas,coite do noia
2702108,Colônia Leopoldina,AL,Alagoas,colonia leopoldina
2702207,Coqueiro Seco,AL,Alagoas,coqueiro seco
2702306,Coruripe,AL,Alagoas,coruripe
2702355,Craíbas,AL,Alagoas,craibas
2702405,Delmiro Gouveia,AL,Alagoas,delmiro gouveia
2702504,Dois Riachos,AL,Alagoas,dois riachos
2702553,Estrela de Alagoas,AL,Alagoas,estrela de alagoas
2702603,Feira Grande,AL,Alagoas,feira grande
2702702,Feliz Deserto,AL,Alagoas,feliz deserto
2702801,Flexeiras,AL,Alagoas,flexeiras
2702900,Girau do Ponciano,AL,Alagoas,girau do ponciano
2703007,Ibateguara,AL,Alagoas,ibateguara
2703106,Igaci,AL,Alagoas,igaci
2703205,Igreja Nova,AL,Alagoas,igreja nova
2703304,Inhapi,AL,Alagoas,inhapi
2703403,Jacaré dos Homens,AL,Alagoas,jacare dos homens
2703502,Jacuípe,AL,Alagoas,jacuipe
2703601,Japaratinga,AL,Alagoas,japaratinga
2703700,Jaramataia,AL,Alagoas,jaramataia
2703759,Jequiá da Praia,AL,Alagoas,jequia da praia
2703809,Joaquim Gomes,AL,Alagoas,joaquim gomes
2703908,Jundiá,AL,Alagoas,jundia
2704005,Junqueiro,AL,Alagoas,junqueiro
2704104,Lagoa da Canoa,AL,Alagoas,lagoa da canoa
2704203,Limoeiro de Anadia,AL,Alagoas,limoeiro de anadia
2704302,Maceió,AL,Alagoas,maceio
2704401,Major Isidoro,AL,Alagoas,major isidoro
2704906,Mar Vermelho,AL,Alagoas,mar vermelho
2704500,Maragogi,AL,Alagoas,maragogi
2704609,Maravilha,AL,Alagoas,maravilha
2704708,Marechal Deodoro,AL,Alagoas,marechal deodoro
2704807,Maribondo,AL,Alagoas,maribondo
2705002,Mata Grande,AL,Alagoas,mata grande
2705101,Matriz de Camaragibe,AL,Alagoas,matriz de camaragibe
2705200,Messias,AL,Alagoas,messias
2705309,Minador do Negrão,AL,Alagoas,minador do negrao
2705408,Monteirópolis,AL,Alagoas,monteiropolis
2705507,Murici,AL,Alagoas,murici
2705606,Novo Lino,AL,Alagoas,novo lino
2705705,Olho d'Água das Flores,AL,Alagoas,olho d'agua das flores
2705804,Olho d'Água do Casado,AL,Alagoas,olho d'agua do casado
2705903,Olho d'Água Grande,AL,Alagoas,olho d'agua grande
2706000,Olivença,AL,Alagoas,olivenca
2706109,Ouro Branco,AL,Alagoas,ouro branco
2706208,Palestina,AL,Alagoas,palestina
2706307,Palmeira dos Índios,AL,Alagoas,palmeira dos indios
2706406,Pão de Açúcar,AL,Alagoas,pao de acucar
2706422,Pariconha,AL,Alagoas,pariconha
2706448,Paripueira,AL,Alagoas,paripueira
2706505,Passo de Camaragibe,AL,Alagoas,passo de camaragibe
2706604,Paulo Jacinto,AL,Alagoas,paulo jacinto
2706703,Penedo,AL,Alagoas,penedo
2706802,Piaçabuçu,AL,Alagoas,piacabucu
2706901,Pilar,AL,Alagoas,pilar
2707008,Pindoba,AL,Alagoas,pindoba
2707107,Piranhas,AL,Alagoas,piranhas
2707206,Poço das Trincheiras,AL,Alagoas,poco das trincheiras
2707305,Porto Calvo,AL,Alagoas,porto calvo
2707404,Porto de Pedras,AL,Alagoas,porto de pedras
2707503,Porto Real do Colégio,AL,Alagoas,porto real do colegio
2707602,Quebrangulo,AL,Alagoas,quebrangulo
2707701,Rio Largo,AL,Alagoas,rio largo
2707800,Roteiro,AL,Alagoas,roteiro
2707909,Santa Luzia do Norte,AL,Alagoas,santa luzia do norte
2708006,Santana do Ipanema,AL,Alagoas,santana do ipanema
2708105,Santana do Mundaú,AL,Alagoas,santana do mundau
2708204,São Brás,AL,Alagoas,sao bras
2708303,São José da Laje,AL,Alagoas,sao jose da laje
2708402,São José da Tapera,AL,Alagoas,sao jose da tapera
2708501,São Luís do Quitunde,AL,Alagoas,sao luis do quitunde
2708600,São Miguel dos Campos,AL,Alagoas,sao miguel dos campos
2708709,São Miguel dos Milagres,AL,Alagoas,sao miguel dos milagres
2708808,São Sebastião,AL,Alagoas,sao sebastiao
2708907,Satuba,AL,Alagoas,satuba
2708956,Senador Rui Palmeira,AL,Alagoas,senador rui palmeira
2709004,Tanque d'Arca,AL,Alagoas,tanque d'arca
2709103,Taquarana,AL,Alagoas,taquarana
2709152,Teotônio Vilela,AL,Alagoas,teotonio vilela
2709202,Traipu,AL,Alagoas,traipu
2709301,União dos Palmares,AL,Alagoas,uniao dos palmares
2709400,Viçosa,AL,Alagoas,vicosa
1300029,Alvarães,AM,Amazonas,alvaraes
1300060,Amaturá,AM,Amazonas,amatura
1300086,Anamã,AM,Amazonas,anama
1300102,Anori,AM,Amazonas,anori
1300144,Apuí,AM,Amazonas,apui
1300201,Atalaia do Norte,AM,Amazonas,atalaia do norte
1300300,Autazes,AM,Amazonas,autazes
1300409,Barcelos,AM,Amazonas,barcelos
1300508,Barreirinha,AM,Amazonas,barreirinha
1300607,Benjamin Constant,AM,Amazonas,benjamin constant
1300631,Beruri,AM,Amazonas,beruri
1300680,Boa Vista do Ramos,AM,Amazonas,boa vista do ramos
1300706,Boca do Acre,AM,Amazonas,boca do acre
1300805,Borba,AM,Amazonas,borba
1300839,Caapiranga,AM,Amazonas,caapiranga
1300904,Canutama,AM,Amazonas,canutama
1301001,Carauari,AM,Amazonas,carauari
1301100,Careiro,AM,Amazonas,careiro
1301159,Careiro da Várzea,AM,Amazonas,careiro da varzea
1301209,Coari,AM,Amazonas,coari
1301308,Codajás,AM,Amazonas,codajas
1301407,Eirunepé,AM,Amazonas,eirunepe
1301506,Envira,AM,Amazonas,envira
1301605,Fonte Boa,AM,Amazonas,fonte boa
1301654,Guajará,AM,Amazonas,guajara
1301704,Humaitá,AM,Amazonas,humaita
1301803,Ipixuna,AM,Amazonas,ipixuna
